Level	Date and Time	Source	Event ID	Task Category
Information	10/12/2022 4:31:18 PM	LoginAgentService	0	None	Session Unlock Event
Information	10/12/2022 4:31:11 PM	LoginAgentService	0	None	Session Lock Event
Information	10/12/2022 4:31:10 PM	LoginAgentService	0	None	other event - RemoteConnect
Information	10/12/2022 4:31:09 PM	LoginAgentService	0	None	other event - ConsoleConnect
Information	10/12/2022 4:31:06 PM	LoginAgentService	0	None	other event - ConsoleDisconnect
Information	10/12/2022 4:30:50 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:30:50Z] Session (ID: cdf72ed9-0e68-40a0-a4a7-3f03896ad195) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 4:30:50 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: cdf72ed9-0e68-40a0-a4a7-3f03896ad195) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 4:30:20 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page df568be8-d6e6-4abe-b198-7ae9873bb53b"
Information	10/12/2022 4:30:19 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Disconnecting page 562418e3-9062-4fe4-85fa-cba446488a44"
Information	10/12/2022 4:30:03 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page 562418e3-9062-4fe4-85fa-cba446488a44 to collection"
Information	10/12/2022 4:29:51 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.BrowserAutomation.WebPageProvider
Added page df568be8-d6e6-4abe-b198-7ae9873bb53b to collection"
Information	10/12/2022 4:29:25 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:29:25Z] Session (ID: cdf72ed9-0e68-40a0-a4a7-3f03896ad195) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 4:29:25 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: cdf72ed9-0e68-40a0-a4a7-3f03896ad195) started. Process Name: SCL_ HTS_ECCN_Exp_Classif"
Information	10/12/2022 4:29:13 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:29:13Z] Created session: cdf72ed9-0e68-40a0-a4a7-3f03896ad195; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 4:29:13 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: cdf72ed9-0e68-40a0-a4a7-3f03896ad195; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 4:29:13 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: cdf72ed9-0e68-40a0-a4a7-3f03896ad195; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Warning	10/12/2022 4:28:47 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:28:47Z] Session (ID: 1796b2df-ac06-480f-9973-8d5b2936bc7f) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Warning	10/12/2022 4:28:47 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 1796b2df-ac06-480f-9973-8d5b2936bc7f) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Information	10/12/2022 4:28:39 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:28:39Z] Session (ID: 1796b2df-ac06-480f-9973-8d5b2936bc7f) started. Process Name: Login"
Information	10/12/2022 4:28:39 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 1796b2df-ac06-480f-9973-8d5b2936bc7f) started. Process Name: Login"
Information	10/12/2022 4:28:28 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:28:28Z] Created session: 1796b2df-ac06-480f-9973-8d5b2936bc7f; process: Login; Run Mode: Exclusive"
Information	10/12/2022 4:28:28 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 1796b2df-ac06-480f-9973-8d5b2936bc7f; process: Login; Run Mode: Exclusive"
Information	10/12/2022 4:28:28 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 1796b2df-ac06-480f-9973-8d5b2936bc7f; process: Login; Run Mode: Exclusive"
Information	10/12/2022 4:23:39 PM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 16:23:39Z] Session (ID: 0488e48c-3b96-426c-9ff8-5e575f5811a0) completed. Process Name: SCL_ HTS_ECCN_Exp_Classif"
